APATITY NEUTRON MONITOR       APAT  APATITY, RUSSIAN FEDERATION   6757000003339000}005938
IGRF 2010 CUTOFF 00.00 GV     C0000 IGRF 2010 CUTOFF 00.00 GV     8900000000000000}000001
IGRF 2010 CUTOFF 00.01 GV     C0001 IGRF 2010 CUTOFF 00.01 GV     7900000000000000}000001
IGRF 2010 CUTOFF 00.02 GV     C0002 IGRF 2010 CUTOFF 00.02 GV     7700000000000000}000001
IGRF 2010 CUTOFF 00.03 GV     C0003 IGRF 2010 CUTOFF 00.03 GV     7700000000300000}000001
IGRF 2010 CUTOFF 00.04 GV     C0004 IGRF 2010 CUTOFF 00.04 GV     7600000000000000}000001
IGRF 2010 CUTOFF 00.05 GV     C0005 IGRF 2010 CUTOFF 00.05 GV     7500000000000000}000001
IGRF 2010 CUTOFF 00.06 GV     C0006 IGRF 2010 CUTOFF 00.06 GV     7500000000600000}000001
IGRF 2010 CUTOFF 00.07 GV     C0007 IGRF 2010 CUTOFF 00.07 GV     7400000000100000}000001
IGRF 2010 CUTOFF 00.08 GV     C0008 IGRF 2010 CUTOFF 00.08 GV     7400000000000000}000001
IGRF 2010 CUTOFF 00.09 GV     C0009 IGRF 2010 CUTOFF 00.09 GV     7400000000900000}000001
IGRF 2010 CUTOFF 00.10 GV     C0010 IGRF 2010 CUTOFF 00.10 GV     7300000000000000}000001
IGRF 2010 CUTOFF 00.20 GV     C0020 IGRF 2010 CUTOFF 00.20 GV     7100000000400000}000001
IGRF 2010 CUTOFF 00.30 GV     C0030 IGRF 2010 CUTOFF 00.30 GV     6900000000200000}000001
IGRF 2010 CUTOFF 00.40 GV     C0040 IGRF 2010 CUTOFF 00.40 GV     6800000000600000}000001
IGRF 2010 CUTOFF 00.50 GV     C0050 IGRF 2010 CUTOFF 00.50 GV     6700000001200000}000001
IGRF 2010 CUTOFF 00.60 GV     C0060 IGRF 2010 CUTOFF 00.60 GV     6500000000000000}000001
IGRF 2010 CUTOFF 00.70 GV     C0070 IGRF 2010 CUTOFF 00.70 GV     6400000000200000}000001
IGRF 2010 CUTOFF 00.80 GV     C0080 IGRF 2010 CUTOFF 00.80 GV     6300000000000000}000001
IGRF 2010 CUTOFF 00.90 GV     C0090 IGRF 2010 CUTOFF 00.90 GV     6300000001500000}000001
IGRF 2010 CUTOFF 01.00 GV     C0100 IGRF 2010 CUTOFF 01.00 GV     6200000001100000}000001
IGRF 2010 CUTOFF 01.10 GV     C0110 IGRF 2010 CUTOFF 01.10 GV     6100000000600000}000001
IGRF 2010 CUTOFF 01.20 GV     C0120 IGRF 2010 CUTOFF 01.20 GV     6000000000200000}000001
IGRF 2010 CUTOFF 01.30 GV     C0130 IGRF 2010 CUTOFF 01.30 GV     6000000001500000}000001
IGRF 2010 CUTOFF 01.40 GV     C0140 IGRF 2010 CUTOFF 01.40 GV     5900000000700000}000001
IGRF 2010 CUTOFF 01.50 GV     C0150 IGRF 2010 CUTOFF 01.50 GV     5800000000000000}000001
IGRF 2010 CUTOFF 01.60 GV     C0160 IGRF 2010 CUTOFF 01.60 GV     5800000001200000}000001
IGRF 2010 CUTOFF 01.70 GV     C0170 IGRF 2010 CUTOFF 01.70 GV     5700000000200000}000001
IGRF 2010 CUTOFF 01.80 GV     C0180 IGRF 2010 CUTOFF 01.80 GV     5700000001300000}000001
IGRF 2010 CUTOFF 01.90 GV     C0190 IGRF 2010 CUTOFF 01.90 GV     5600000000200000}000001
IGRF 2010 CUTOFF 02.00 GV     C0200 IGRF 2010 CUTOFF 02.00 GV     5600000001400000}000001
IGRF 2010 CUTOFF 03.00 GV     C0300 IGRF 2010 CUTOFF 03.00 GV     5200000002700000}000001
IGRF 2010 CUTOFF 04.00 GV     C0400 IGRF 2010 CUTOFF 04.00 GV     4900000005500000}000001
IGRF 2010 CUTOFF 05.00 GV     C0500 IGRF 2010 CUTOFF 05.00 GV     4500000000000000}000001
IGRF 2010 CUTOFF 06.00 GV     C0600 IGRF 2010 CUTOFF 06.00 GV     4300000005700000}000001
IGRF 2010 CUTOFF 07.00 GV     C0700 IGRF 2010 CUTOFF 07.00 GV     4300000011500000}000001
IGRF 2010 CUTOFF 08.00 GV     C0800 IGRF 2010 CUTOFF 08.00 GV     3900000005430000}000001
IGRF 2010 CUTOFF 09.00 GV     C0900 IGRF 2010 CUTOFF 09.00 GV     3700000004300000}000001
IGRF 2010 CUTOFF 10.00 GV     C1000 IGRF 2010 CUTOFF 10.00 GV     3400000000800000}000001
IGRF 2010 CUTOFF 11.00 GV     C1100 IGRF 2010 CUTOFF 11.00 GV     3200000003800000}000001
IGRF 2010 CUTOFF 12.00 GV     C1200 IGRF 2010 CUTOFF 12.00 GV     3000000003900000}000001
IGRF 2010 CUTOFF 13.00 GV     C1300 IGRF 2010 CUTOFF 13.00 GV     2700000001900000}000001
IGRF 2010 CUTOFF 14.00 GV     C1400 IGRF 2010 CUTOFF 14.00 GV     0100000000800000}000001
IGRF 2010 CUTOFF 15.00 GV     C1500 IGRF 2010 CUTOFF 15.00 GV     1400000001000000}000001
IGRF 2010 CUTOFF 16.00 GV     C1600 IGRF 2010 CUTOFF 16.00 GV     0800000004200000}000001
IGRF 2010 CUTOFF 17.00 GV     C1700 IGRF 2010 CUTOFF 17.00 GV     1500000007500000}000001
IGRF 2010 CUTOFF 17.10 GV     C1710 IGRF 2010 CUTOFF 17.10 GV     1600000008500000}000001
IGRF 2010 CUTOFF 17.20 GV     C1720 IGRF 2010 CUTOFF 17.20 GV     0100000008700000}000001
IGRF 2010 CUTOFF 17.30 GV     C1730 IGRF 2010 CUTOFF 17.30 GV     0300000008100000}000001
IGRF 2010 CUTOFF 17.40 GV     C1740 IGRF 2010 CUTOFF 17.40 GV     1300000008500000}000001
IGRF 2010 CUTOFF 17.50 GV     C1750 IGRF 2010 CUTOFF 17.50 GV     0600000009100000}000001
IGRF 2010 CUTOFF 17.60 GV     C1760 IGRF 2010 CUTOFF 17.60 GV     1200000008800000}000001
NEVERLAND AIRPORT             KYLE  PETER PAN PALACE              3300000013333030}000070
END OF FILE                   ----  END OF FILE                   99999990999999999999990
