2002.041096
   Z       E            F
   1  1.000E-02  8.418E+00
   1  1.150E-02  9.820E+00
   1  1.322E-02  1.146E+01
   1  1.520E-02  1.337E+01
   1  1.748E-02  1.561E+01
   1  2.009E-02  1.823E+01
   1  2.310E-02  2.131E+01
   1  2.656E-02  2.492E+01
   1  3.054E-02  2.916E+01
   1  3.511E-02  3.415E+01
   1  4.037E-02  4.001E+01
   1  4.642E-02  4.691E+01
   1  5.337E-02  5.503E+01
   1  6.136E-02  6.456E+01
   1  7.055E-02  7.573E+01
   1  8.111E-02  8.877E+01
   1  9.326E-02  1.039E+02
   1  1.072E-01  1.213E+02
   1  1.233E-01  1.412E+02
   1  1.417E-01  1.636E+02
   1  1.630E-01  1.885E+02
   1  1.874E-01  2.156E+02
   1  2.154E-01  2.445E+02
   1  2.477E-01  2.745E+02
   1  2.848E-01  3.047E+02
   1  3.275E-01  3.340E+02
   1  3.765E-01  3.611E+02
   1  4.329E-01  3.846E+02
   1  4.977E-01  4.032E+02
   1  5.722E-01  4.157E+02
   1  6.579E-01  4.214E+02
   1  7.565E-01  4.197E+02
   1  8.697E-01  4.106E+02
   1  1.000E+00  3.944E+02
   1  1.150E+00  3.720E+02
   1  1.322E+00  3.445E+02
   1  1.520E+00  3.132E+02
   1  1.748E+00  2.796E+02
   1  2.009E+00  2.452E+02
   1  2.310E+00  2.113E+02
   1  2.656E+00  1.790E+02
   1  3.054E+00  1.492E+02
   1  3.511E+00  1.223E+02
   1  4.037E+00  9.871E+01
   1  4.642E+00  7.854E+01
   1  5.337E+00  6.161E+01
   1  6.136E+00  4.768E+01
   1  7.055E+00  3.646E+01
   1  8.111E+00  2.756E+01
   1  9.326E+00  2.060E+01
   1  1.072E+01  1.524E+01
   1  1.233E+01  1.118E+01
   1  1.417E+01  8.127E+00
   1  1.630E+01  5.870E+00
   1  1.874E+01  4.208E+00
   1  2.154E+01  2.995E+00
   1  2.477E+01  2.124E+00
   1  2.848E+01  1.496E+00
   1  3.275E+01  1.050E+00
   1  3.765E+01  7.340E-01
   1  4.329E+01  5.108E-01
   1  4.977E+01  3.549E-01
   1  5.722E+01  2.457E-01
   1  6.579E+01  1.697E-01
   1  7.565E+01  1.170E-01
   1  8.697E+01  8.040E-02
   1  1.000E+02  5.528E-02
   1  1.150E+02  3.789E-02
   1  1.322E+02  2.595E-02
   1  1.520E+02  1.776E-02
   1  1.748E+02  1.213E-02
   1  2.009E+02  8.287E-03
   1  2.310E+02  5.656E-03
   1  2.656E+02  3.855E-03
   1  3.054E+02  2.628E-03
   1  3.511E+02  1.791E-03
   1  4.037E+02  1.218E-03
   1  4.642E+02  8.303E-04
   1  5.337E+02  5.643E-04
   1  6.136E+02  3.841E-04
   1  7.055E+02  2.611E-04
   1  8.111E+02  1.776E-04
   1  9.326E+02  1.207E-04
   1  1.072E+03  8.205E-05
   1  1.233E+03  5.575E-05
   1  1.417E+03  3.788E-05
   1  1.630E+03  2.575E-05
   1  1.874E+03  1.749E-05
   1  2.154E+03  1.187E-05
   1  2.477E+03  8.072E-06
   1  2.848E+03  5.478E-06
   1  3.275E+03  3.722E-06
   1  3.765E+03  2.527E-06
   1  4.329E+03  1.717E-06
   1  4.977E+03  1.165E-06
   1  5.722E+03  7.929E-07
   1  6.579E+03  5.361E-07
   1  7.565E+03  3.665E-07
   1  8.697E+03  2.463E-07
