2023.873973
    Z       E            F 
   1  1.000E-02  4.847E+06
   1  1.150E-02  3.976E+06
   1  1.322E-02  3.263E+06
   1  1.520E-02  2.677E+06
   1  1.748E-02  2.195E+06
   1  2.009E-02  1.800E+06
   1  2.310E-02  1.476E+06
   1  2.656E-02  1.209E+06
   1  3.054E-02  9.905E+05
   1  3.511E-02  8.112E+05
   1  4.037E-02  6.640E+05
   1  4.642E-02  5.431E+05
   1  5.337E-02  4.441E+05
   1  6.136E-02  3.629E+05
   1  7.055E-02  2.962E+05
   1  8.111E-02  2.417E+05
   1  9.326E-02  1.969E+05
   1  1.072E-01  1.604E+05
   1  1.233E-01  1.303E+05
   1  1.417E-01  1.059E+05
   1  1.630E-01  8.572E+04
   1  1.874E-01  6.935E+04
   1  2.154E-01  5.601E+04
   1  2.477E-01  4.510E+04
   1  2.848E-01  3.623E+04
   1  3.275E-01  2.901E+04
   1  3.765E-01  2.317E+04
   1  4.329E-01  1.843E+04
   1  4.977E-01  1.461E+04
   1  5.722E-01  1.153E+04
   1  6.579E-01  9.055E+03
   1  7.565E-01  7.077E+03
   1  8.697E-01  5.503E+03
   1  1.000E+00  4.255E+03
   1  1.150E+00  3.269E+03
   1  1.322E+00  2.498E+03
   1  1.520E+00  1.896E+03
   1  1.748E+00  1.430E+03
   1  2.009E+00  1.072E+03
   1  2.310E+00  7.980E+02
   1  2.656E+00  5.902E+02
   1  3.054E+00  4.337E+02
   1  3.511E+00  3.168E+02
   1  4.037E+00  2.299E+02
   1  4.642E+00  1.659E+02
   1  5.337E+00  1.191E+02
   1  6.136E+00  8.510E+01
   1  7.055E+00  6.049E+01
   1  8.111E+00  4.282E+01
   1  9.326E+00  3.018E+01
   1  1.072E+01  2.120E+01
   1  1.233E+01  1.483E+01
   1  1.417E+01  1.036E+01
   1  1.630E+01  7.197E+00
   1  1.874E+01  4.996E+00
   1  2.154E+01  3.462E+00
   1  2.477E+01  2.392E+00
   1  2.848E+01  1.650E+00
   1  3.275E+01  1.136E+00
   1  3.765E+01  7.821E-01
   1  4.329E+01  5.373E-01
   1  4.977E+01  3.689E-01
   1  5.722E+01  2.530E-01
   1  6.579E+01  1.733E-01
   1  7.565E+01  1.187E-01
   1  8.697E+01  8.122E-02
   1  1.000E+02  5.553E-02
   1  1.150E+02  3.794E-02
   1  1.322E+02  2.593E-02
   1  1.520E+02  1.771E-02
   1  1.748E+02  1.209E-02
   1  2.009E+02  8.258E-03
   1  2.310E+02  5.635E-03
   1  2.656E+02  3.844E-03
   1  3.054E+02  2.622E-03
   1  3.511E+02  1.789E-03
   1  4.037E+02  1.220E-03
   1  4.642E+02  8.314E-04
   1  5.337E+02  5.669E-04
   1  6.136E+02  3.865E-04
   1  7.055E+02  2.634E-04
   1  8.111E+02  1.796E-04
   1  9.326E+02  1.224E-04
   1  1.072E+03  8.348E-05
   1  1.233E+03  5.683E-05
   1  1.417E+03  3.878E-05
   1  1.630E+03  2.639E-05
   1  1.874E+03  1.799E-05
   1  2.154E+03  1.227E-05
   1  2.477E+03  8.354E-06
   1  2.848E+03  5.692E-06
   1  3.275E+03  3.877E-06
   1  3.765E+03  2.642E-06
   1  4.329E+03  1.800E-06
   1  4.977E+03  1.227E-06
   1  5.722E+03  8.359E-07
   1  6.579E+03  5.698E-07
   1  7.565E+03  3.880E-07
   1  8.697E+03  2.645E-07
   1  1.000E+04  1.801E-07
   2  4.000E-02  1.422E+04
   2  4.600E-02  1.234E+04
   2  5.288E-02  1.071E+04
   2  6.080E-02  9.286E+03
   2  6.992E-02  8.049E+03
   2  8.036E-02  6.979E+03
   2  9.240E-02  6.045E+03
   2  1.062E-01  5.232E+03
   2  1.222E-01  4.526E+03
   2  1.404E-01  3.913E+03
   2  1.615E-01  3.379E+03
   2  1.857E-01  2.915E+03
   2  2.135E-01  2.512E+03
   2  2.454E-01  2.162E+03
   2  2.822E-01  1.858E+03
   2  3.244E-01  1.594E+03
   2  3.730E-01  1.365E+03
   2  4.288E-01  1.166E+03
   2  4.932E-01  9.936E+02
   2  5.668E-01  8.450E+02
   2  6.520E-01  7.157E+02
   2  7.496E-01  6.044E+02
   2  8.616E-01  5.087E+02
   2  9.908E-01  4.261E+02
   2  1.139E+00  3.554E+02
   2  1.310E+00  2.949E+02
   2  1.506E+00  2.434E+02
   2  1.732E+00  1.997E+02
   2  1.991E+00  1.628E+02
   2  2.289E+00  1.319E+02
   2  2.632E+00  1.060E+02
   2  3.026E+00  8.459E+01
   2  3.479E+00  6.699E+01
   2  4.000E+00  5.261E+01
   2  4.600E+00  4.096E+01
   2  5.288E+00  3.165E+01
   2  6.080E+00  2.424E+01
   2  6.992E+00  1.840E+01
   2  8.036E+00  1.386E+01
   2  9.240E+00  1.035E+01
   2  1.062E+01  7.669E+00
   2  1.222E+01  5.637E+00
   2  1.404E+01  4.115E+00
   2  1.615E+01  2.982E+00
   2  1.857E+01  2.146E+00
   2  2.135E+01  1.535E+00
   2  2.454E+01  1.092E+00
   2  2.822E+01  7.730E-01
   2  3.244E+01  5.444E-01
   2  3.730E+01  3.817E-01
   2  4.288E+01  2.667E-01
   2  4.932E+01  1.854E-01
   2  5.668E+01  1.287E-01
   2  6.520E+01  8.889E-02
   2  7.496E+01  6.132E-02
   2  8.616E+01  4.223E-02
   2  9.908E+01  2.898E-02
   2  1.139E+02  1.986E-02
   2  1.310E+02  1.359E-02
   2  1.506E+02  9.288E-03
   2  1.732E+02  6.338E-03
   2  1.991E+02  4.322E-03
   2  2.289E+02  2.944E-03
   2  2.632E+02  2.003E-03
   2  3.026E+02  1.362E-03
   2  3.479E+02  9.258E-04
   2  4.000E+02  6.287E-04
   2  4.600E+02  4.265E-04
   2  5.288E+02  2.895E-04
   2  6.080E+02  1.964E-04
   2  6.992E+02  1.331E-04
   2  8.036E+02  9.031E-05
   2  9.240E+02  6.119E-05
   2  1.062E+03  4.146E-05
   2  1.222E+03  2.808E-05
   2  1.404E+03  1.902E-05
   2  1.615E+03  1.288E-05
   2  1.857E+03  8.720E-06
   2  2.135E+03  5.904E-06
   2  2.454E+03  3.998E-06
   2  2.822E+03  2.706E-06
   2  3.244E+03  1.832E-06
   2  3.730E+03  1.240E-06
   2  4.288E+03  8.397E-07
   2  4.932E+03  5.677E-07
   2  5.668E+03  3.847E-07
   2  6.520E+03  2.600E-07
   2  7.496E+03  1.759E-07
   2  8.616E+03  1.192E-07
   2  9.908E+03  8.059E-08
   2  1.139E+04  5.453E-08
   2  1.310E+04  3.688E-08
   2  1.506E+04  2.496E-08
   2  1.732E+04  1.689E-08
   2  1.991E+04  1.143E-08
   2  2.289E+04  7.712E-09
   2  2.632E+04  5.235E-09
   2  3.026E+04  3.540E-09
   2  3.479E+04  2.396E-09
   2  4.000E+04  1.620E-09
   3  7.000E-02  3.998E+00
   3  8.050E-02  3.793E+00
   3  9.254E-02  3.596E+00
   3  1.064E-01  3.407E+00
   3  1.224E-01  3.225E+00
   3  1.406E-01  3.051E+00
   3  1.617E-01  2.882E+00
   3  1.859E-01  2.719E+00
   3  2.138E-01  2.562E+00
   3  2.458E-01  2.411E+00
   3  2.826E-01  2.264E+00
   3  3.249E-01  2.121E+00
   3  3.736E-01  1.983E+00
   3  4.295E-01  1.849E+00
   3  4.939E-01  1.719E+00
   3  5.678E-01  1.592E+00
   3  6.528E-01  1.469E+00
   3  7.504E-01  1.350E+00
   3  8.631E-01  1.234E+00
   3  9.919E-01  1.123E+00
   3  1.141E+00  1.015E+00
   3  1.312E+00  9.112E-01
   3  1.508E+00  8.125E-01
   3  1.734E+00  7.183E-01
   3  1.994E+00  6.296E-01
   3  2.292E+00  5.465E-01
   3  2.636E+00  4.697E-01
   3  3.030E+00  3.993E-01
   3  3.484E+00  3.355E-01
   3  4.005E+00  2.785E-01
   3  4.605E+00  2.283E-01
   3  5.296E+00  1.846E-01
   3  6.088E+00  1.474E-01
   3  7.000E+00  1.160E-01
