Solar Cycle Min and Max dates
CYCLE  MIN    MAX
1  1755.20  1761.50
2  1766.50  1769.70
3  1775.50  1778.40
4  1784.70  1788.10
5  1798.30  1805.20
6  1810.60  1816.40
7  1823.30  1829.90
8  1833.90  1837.20
9  1843.50  1848.10
10  1856.00  1860.10
11  1867.20  1870.60
12  1878.90  1883.90
13  1889.60  1894.10
14  1901.70  1907.00
15  1913.50  1917.67
16  1923.33  1928.50
17  1933.75  1937.42
18  1944.33  1947.58
19  1954.33  1957.92
20  1964.67  1969.17
21  1976.25  1979.92
22  1986.75  1989.83
23  1996.42  2000.50
24  2008.99  2014.10 
25  2019.90  2025.42
