2024.125683
   Z       E         F
   1  1.000E-02  1.143E+02
   1  1.150E-02  1.307E+02
   1  1.322E-02  1.492E+02
   1  1.520E-02  1.702E+02
   1  1.748E-02  1.939E+02
   1  2.009E-02  2.206E+02
   1  2.310E-02  2.507E+02
   1  2.656E-02  2.844E+02
   1  3.054E-02  3.220E+02
   1  3.511E-02  3.637E+02
   1  4.037E-02  4.099E+02
   1  4.642E-02  4.606E+02
   1  5.337E-02  5.158E+02
   1  6.136E-02  5.756E+02
   1  7.055E-02  6.398E+02
   1  8.111E-02  7.078E+02
   1  9.326E-02  7.790E+02
   1  1.072E-01  8.525E+02
   1  1.233E-01  9.272E+02
   1  1.417E-01  1.001E+03
   1  1.630E-01  1.073E+03
   1  1.874E-01  1.140E+03
   1  2.154E-01  1.199E+03
   1  2.477E-01  1.250E+03
   1  2.848E-01  1.288E+03
   1  3.275E-01  1.312E+03
   1  3.765E-01  1.320E+03
   1  4.329E-01  1.310E+03
   1  4.977E-01  1.282E+03
   1  5.722E-01  1.237E+03
   1  6.579E-01  1.175E+03
   1  7.565E-01  1.100E+03
   1  8.697E-01  1.012E+03
   1  1.000E+00  9.169E+02
   1  1.150E+00  8.167E+02
   1  1.322E+00  7.158E+02
   1  1.520E+00  6.170E+02
   1  1.748E+00  5.232E+02
   1  2.009E+00  4.369E+02
   1  2.310E+00  3.591E+02
   1  2.656E+00  2.907E+02
   1  3.054E+00  2.319E+02
   1  3.511E+00  1.825E+02
   1  4.037E+00  1.418E+02
   1  4.642E+00  1.088E+02
   1  5.337E+00  8.249E+01
   1  6.136E+00  6.191E+01
   1  7.055E+00  4.600E+01
   1  8.111E+00  3.387E+01
   1  9.326E+00  2.473E+01
   1  1.072E+01  1.793E+01
   1  1.233E+01  1.290E+01
   1  1.417E+01  9.236E+00
   1  1.630E+01  6.563E+00
   1  1.874E+01  4.646E+00
   1  2.154E+01  3.277E+00
   1  2.477E+01  2.300E+00
   1  2.848E+01  1.609E+00
   1  3.275E+01  1.121E+00
   1  3.765E+01  7.802E-01
   1  4.329E+01  5.413E-01
   1  4.977E+01  3.748E-01
   1  5.722E+01  2.591E-01
   1  6.579E+01  1.788E-01
   1  7.565E+01  1.231E-01
   1  8.697E+01  8.475E-02
   1  1.000E+02  5.824E-02
   1  1.150E+02  3.997E-02
   1  1.322E+02  2.744E-02
   1  1.520E+02  1.881E-02
   1  1.748E+02  1.288E-02
   1  2.009E+02  8.832E-03
   1  2.310E+02  6.044E-03
   1  2.656E+02  4.135E-03
   1  3.054E+02  2.828E-03
   1  3.511E+02  1.934E-03
   1  4.037E+02  1.322E-03
   1  4.642E+02  9.029E-04
   1  5.337E+02  6.169E-04
   1  6.136E+02  4.215E-04
   1  7.055E+02  2.878E-04
   1  8.111E+02  1.966E-04
   1  9.326E+02  1.342E-04
   1  1.072E+03  9.170E-05
   1  1.233E+03  6.254E-05
   1  1.417E+03  4.274E-05
   1  1.630E+03  2.914E-05
   1  1.874E+03  1.989E-05
   1  2.154E+03  1.358E-05
   1  2.477E+03  9.267E-06
   1  2.848E+03  6.323E-06
   1  3.275E+03  4.313E-06
   1  3.765E+03  2.944E-06
   1  4.329E+03  2.009E-06
   1  4.977E+03  1.371E-06
   1  5.722E+03  9.356E-07
   1  6.579E+03  6.384E-07
   1  7.565E+03  4.355E-07
   1  8.697E+03  2.972E-07
   1  1.000E+04  2.027E-07
   2  4.000E-02  6.731E+00
   2  4.600E-02  7.664E+00
   2  5.288E-02  8.711E+00
   2  6.080E-02  9.887E+00
   2  6.992E-02  1.120E+01
   2  8.036E-02  1.266E+01
   2  9.240E-02  1.428E+01
   2  1.062E-01  1.606E+01
   2  1.222E-01  1.801E+01
   2  1.404E-01  2.012E+01
   2  1.615E-01  2.240E+01
