1997.041096
  Heliocentric potential for LUIN spectrum =   379.000000000000       MV
   Z       E         F
   1  1.000E-02  1.862E+02
   1  1.150E-02  2.127E+02
   1  1.322E-02  2.426E+02
   1  1.520E-02  2.765E+02
   1  1.748E-02  3.148E+02
   1  2.009E-02  3.577E+02
   1  2.310E-02  4.059E+02
   1  2.656E-02  4.597E+02
   1  3.054E-02  5.195E+02
   1  3.511E-02  5.857E+02
   1  4.037E-02  6.585E+02
   1  4.642E-02  7.380E+02
   1  5.337E-02  8.242E+02
   1  6.136E-02  9.169E+02
   1  7.055E-02  1.015E+03
   1  8.111E-02  1.119E+03
   1  9.326E-02  1.226E+03
   1  1.072E-01  1.335E+03
   1  1.233E-01  1.445E+03
   1  1.417E-01  1.551E+03
   1  1.630E-01  1.652E+03
   1  1.874E-01  1.743E+03
   1  2.154E-01  1.821E+03
   1  2.477E-01  1.883E+03
   1  2.848E-01  1.925E+03
   1  3.275E-01  1.944E+03
   1  3.765E-01  1.938E+03
   1  4.329E-01  1.905E+03
   1  4.977E-01  1.847E+03
   1  5.722E-01  1.762E+03
   1  6.579E-01  1.656E+03
   1  7.565E-01  1.531E+03
   1  8.697E-01  1.392E+03
   1  1.000E+00  1.244E+03
   1  1.150E+00  1.092E+03
   1  1.322E+00  9.429E+02
   1  1.520E+00  7.999E+02
   1  1.748E+00  6.669E+02
   1  2.009E+00  5.471E+02
   1  2.310E+00  4.412E+02
   1  2.656E+00  3.502E+02
   1  3.054E+00  2.737E+02
   1  3.511E+00  2.109E+02
   1  4.037E+00  1.603E+02
   1  4.642E+00  1.202E+02
   1  5.337E+00  8.918E+01
   1  6.136E+00  6.546E+01
   1  7.055E+00  4.758E+01
   1  8.111E+00  3.431E+01
   1  9.326E+00  2.456E+01
   1  1.072E+01  2.040E+01
   1  1.233E+01  1.574E+01
   1  1.417E+01  1.207E+01
   1  1.630E+01  9.187E+00
   1  1.874E+01  6.957E+00
   1  2.154E+01  5.244E+00
   1  2.477E+01  3.929E+00
   1  2.848E+01  2.932E+00
