1968.041096
   Z,        E,        F  
   1  1.000E-02  2.105E+10
   1  1.150E-02  1.720E+10
   1  1.322E-02  1.434E+10
   1  1.520E-02  1.196E+10
   1  1.748E-02  9.970E+09
   1  2.009E-02  8.260E+09
   1  2.310E-02  6.844E+09
   1  2.656E-02  5.683E+09
   1  3.054E-02  4.681E+09
   1  3.511E-02  3.858E+09
   1  4.037E-02  3.176E+09
   1  4.642E-02  2.605E+09
   1  5.337E-02  2.127E+09
   1  6.136E-02  1.730E+09
   1  7.055E-02  1.401E+09
   1  8.111E-02  1.129E+09
   1  9.326E-02  9.081E+08
   1  1.072E-01  7.248E+08
   1  1.233E-01  5.739E+08
   1  1.417E-01  4.518E+08
   1  1.630E-01  3.525E+08
   1  1.874E-01  2.727E+08
   1  2.154E-01  2.089E+08
   1  2.477E-01  1.579E+08
   1  2.848E-01  1.178E+08
   1  3.275E-01  8.656E+07
   1  3.765E-01  6.245E+07
   1  4.329E-01  4.428E+07
   1  4.977E-01  3.065E+07
   1  5.722E-01  2.061E+07
   1  6.579E-01  1.342E+07
   1  7.565E-01  8.419E+06
   1  8.697E-01  4.842E+06
   1  1.000E+00  2.702E+06
   1  1.150E+00  1.490E+06
   1  1.322E+00  8.151E+05
   1  1.520E+00  4.393E+05
   1  1.748E+00  2.343E+05
   1  2.009E+00  1.232E+05
   1  2.310E+00  6.403E+04
   1  2.656E+00  3.284E+04
   1  3.054E+00  1.667E+04
   1  3.511E+00  8.335E+03
   1  4.037E+00  4.117E+03
   1  4.642E+00  2.009E+03
   1  5.337E+00  9.696E+02
   1  6.136E+00  4.635E+02
   1  7.055E+00  2.189E+02
   1  8.111E+00  1.025E+02
   1  9.326E+00  4.675E+01
   1  1.072E+01  2.192E+01
   1  1.233E+01  1.004E+01
   1  1.417E+01  4.556E+00
   1  1.630E+01  2.055E+00
   1  1.874E+01  9.244E-01
   1  2.154E+01  4.107E-01
   1  2.477E+01  1.830E-01
   1  2.848E+01  8.102E-02
   1  3.275E+01  3.580E-02
   1  3.765E+01  1.575E-02
   1  4.329E+01  6.903E-03
   1  4.977E+01  3.023E-03
   1  5.722E+01  1.321E-03
   1  6.579E+01  5.761E-04
   1  7.565E+01  2.509E-04
   1  8.697E+01  1.090E-04
   1  1.000E+02  4.731E-05
   1  1.150E+02  2.056E-05
   1  1.322E+02  8.902E-06
   1  1.520E+02  3.853E-06
   1  1.748E+02  1.668E-06
   1  2.009E+02  7.204E-07
   1  2.310E+02  3.117E-07
   1  2.656E+02  1.345E-07
   1  3.054E+02  5.808E-08
   1  3.511E+02  2.505E-08
   1  4.037E+02  1.081E-08
   1  4.642E+02  4.660E-09
   1  5.337E+02  2.009E-09
   1  6.136E+02  8.660E-10
   1  7.055E+02  3.776E-10
