2008.120219
   Z       E            F
   1  1.000E-02  8.194E+01
   1  1.150E-02  9.555E+01
   1  1.322E-02  1.115E+02
   1  1.520E-02  1.301E+02
   1  1.748E-02  1.519E+02
   1  2.009E-02  1.774E+02
   1  2.310E-02  2.072E+02
   1  2.656E-02  2.421E+02
   1  3.054E-02  2.828E+02
   1  3.511E-02  3.301E+02
   1  4.037E-02  3.850E+02
   1  4.642E-02  4.483E+02
   1  5.337E-02  5.207E+02
   1  6.136E-02  6.027E+02
   1  7.055E-02  6.945E+02
   1  8.111E-02  7.960E+02
   1  9.326E-02  9.060E+02
   1  1.072E-01  1.023E+03
   1  1.233E-01  1.145E+03
   1  1.417E-01  1.267E+03
   1  1.630E-01  1.387E+03
   1  1.874E-01  1.498E+03
   1  2.154E-01  1.597E+03
   1  2.477E-01  1.679E+03
   1  2.848E-01  1.738E+03
   1  3.275E-01  1.771E+03
   1  3.765E-01  1.777E+03
   1  4.329E-01  1.753E+03
   1  4.977E-01  1.702E+03
   1  5.722E-01  1.624E+03
   1  6.579E-01  1.524E+03
   1  7.565E-01  1.406E+03
   1  8.697E-01  1.276E+03
   1  1.000E+00  1.139E+03
   1  1.150E+00  9.998E+02
   1  1.322E+00  8.636E+02
   1  1.520E+00  7.342E+02
   1  1.748E+00  6.143E+02
   1  2.009E+00  5.063E+02
   1  2.310E+00  4.112E+02
   1  2.656E+00  3.293E+02
   1  3.054E+00  2.602E+02
   1  3.511E+00  2.028E+02
   1  4.037E+00  1.562E+02
   1  4.642E+00  1.189E+02
   1  5.337E+00  8.954E+01
   1  6.136E+00  6.673E+01
   1  7.055E+00  4.925E+01
   1  8.111E+00  3.604E+01
   1  9.326E+00  2.618E+01
   1  1.072E+01  1.887E+01
   1  1.233E+01  1.350E+01
   1  1.417E+01  9.616E+00
   1  1.630E+01  6.808E+00
   1  1.874E+01  4.797E+00
   1  2.154E+01  3.363E+00
   1  2.477E+01  2.350E+00
   1  2.848E+01  1.636E+00
   1  3.275E+01  1.136E+00
   1  3.765E+01  7.861E-01
   1  4.329E+01  5.426E-01
   1  4.977E+01  3.741E-01
   1  5.722E+01  2.572E-01
   1  6.579E+01  1.767E-01
   1  7.565E+01  1.212E-01
   1  8.697E+01  8.292E-02
   1  1.000E+02  5.677E-02
   1  1.150E+02  3.878E-02
   1  1.322E+02  2.648E-02
   1  1.520E+02  1.808E-02
   1  1.748E+02  1.231E-02
   1  2.009E+02  8.403E-03
   1  2.310E+02  5.717E-03
   1  2.656E+02  3.896E-03
   1  3.054E+02  2.652E-03
   1  3.511E+02  1.803E-03
   1  4.037E+02  1.226E-03
   1  4.642E+02  8.347E-04
   1  5.337E+02  5.671E-04
   1  6.136E+02  3.859E-04
   1  7.055E+02  2.620E-04
   1  8.111E+02  1.782E-04
   1  9.326E+02  1.210E-04
   1  1.072E+03  8.229E-05
   1  1.233E+03  5.586E-05
   1  1.417E+03  3.795E-05
   1  1.630E+03  2.576E-05
   1  1.874E+03  1.753E-05
   1  2.154E+03  1.188E-05
   1  2.477E+03  8.090E-06
   1  2.848E+03  5.477E-06
   1  3.275E+03  3.730E-06
   1  3.765E+03  2.527E-06
   1  4.329E+03  1.720E-06
   1  4.977E+03  1.165E-06
   1  5.722E+03  7.934E-07
   1  6.579E+03  5.363E-07
   1  7.565E+03  3.665E-07
   1  8.697E+03  2.466E-07
   1  1.000E+04  1.698E-07
   2  4.000E-02  8.732E+00
   2  4.599E-02  1.019E+01
   2  5.288E-02  1.188E+01
   2  6.080E-02  1.386E+01
   2  6.990E-02  1.615E+01
   2  8.037E-02  1.879E+01
   2  9.241E-02  2.184E+01
   2  1.062E-01  2.530E+01
   2  1.222E-01  2.922E+01
   2  1.404E-01  3.360E+01
   2  1.615E-01  3.841E+01
   2  1.857E-01  4.362E+01
   2  2.135E-01  4.915E+01
   2  2.454E-01  5.488E+01
   2  2.822E-01  6.065E+01
   2  3.245E-01  6.629E+01
   2  3.730E-01  7.157E+01
   2  4.289E-01  7.628E+01
   2  4.931E-01  8.021E+01
   2  5.670E-01  8.315E+01
   2  6.519E-01  8.495E+01
   2  7.495E-01  8.551E+01
   2  8.618E-01  8.479E+01
   2  9.908E-01  8.281E+01
   2  1.139E+00  7.965E+01
   2  1.310E+00  7.546E+01
   2  1.506E+00  7.041E+01
   2  1.732E+00  6.473E+01
   2  1.991E+00  5.863E+01
   2  2.289E+00  5.233E+01
   2  2.632E+00  4.603E+01
   2  3.026E+00  3.991E+01
   2  3.479E+00  3.412E+01
   2  4.000E+00  2.878E+01
   2  4.599E+00  2.395E+01
   2  5.288E+00  1.966E+01
   2  6.080E+00  1.593E+01
   2  6.990E+00  1.274E+01
   2  8.037E+00  1.007E+01
   2  9.241E+00  7.861E+00
   2  1.062E+01  6.070E+00
   2  1.222E+01  4.637E+00
   2  1.404E+01  3.504E+00
   2  1.615E+01  2.621E+00
   2  1.857E+01  1.944E+00
   2  2.135E+01  1.429E+00
   2  2.454E+01  1.042E+00
   2  2.822E+01  7.541E-01
   2  3.245E+01  5.421E-01
   2  3.730E+01  3.875E-01
   2  4.289E+01  2.752E-01
   2  4.931E+01  1.943E-01
   2  5.670E+01  1.368E-01
   2  6.519E+01  9.573E-02
   2  7.495E+01  6.691E-02
   2  8.618E+01  4.646E-02
   2  9.908E+01  3.225E-02
   2  1.139E+02  2.229E-02
   2  1.310E+02  1.538E-02
   2  1.506E+02  1.060E-02
   2  1.732E+02  7.272E-03
   2  1.991E+02  4.997E-03
   2  2.289E+02  3.420E-03
   2  2.632E+02  2.341E-03
   2  3.026E+02  1.601E-03
   2  3.479E+02  1.093E-03
   2  4.000E+02  7.458E-04
   2  4.599E+02  5.084E-04
   2  5.288E+02  3.465E-04
   2  6.080E+02  2.361E-04
   2  6.990E+02  1.605E-04
   2  8.037E+02  1.094E-04
   2  9.241E+02  7.433E-05
   2  1.062E+03  5.055E-05
   2  1.222E+03  3.436E-05
   2  1.404E+03  2.334E-05
   2  1.615E+03  1.587E-05
   2  1.857E+03  1.078E-05
   2  2.135E+03  7.319E-06
   2  2.454E+03  4.975E-06
   2  2.822E+03  3.372E-06
   2  3.245E+03  2.294E-06
   2  3.730E+03  1.555E-06
   2  4.289E+03  1.057E-06
   2  4.931E+03  7.169E-07
   2  5.670E+03  4.867E-07
   2  6.519E+03  3.303E-07
   2  7.495E+03  2.243E-07
   2  8.618E+03  1.521E-07
   2  9.908E+03  1.034E-07
   2  1.139E+04  6.998E-08
   2  1.310E+04  4.763E-08
   2  1.506E+04  3.223E-08
   2  1.732E+04  2.193E-08
   2  1.991E+04  1.483E-08
   2  2.289E+04  1.010E-08
   2  2.632E+04  6.823E-09
   2  3.026E+04  4.658E-09
   2  3.479E+04  3.131E-09
   2  4.000E+04  2.155E-09
   3  7.000E-02  1.647E-02
   3  8.048E-02  1.916E-02
   3  9.254E-02  2.229E-02
   3  1.064E-01  2.591E-02
   3  1.223E-01  3.010E-02
   3  1.406E-01  3.492E-02
   3  1.617E-01  4.044E-02
   3  1.859E-01  4.673E-02
   3  2.138E-01  5.382E-02
   3  2.458E-01  6.174E-02
   3  2.826E-01  7.047E-02
   3  3.249E-01  7.998E-02
   3  3.736E-01  9.015E-02
   3  4.295E-01  1.008E-01
   3  4.938E-01  1.118E-01
   3  5.678E-01  1.227E-01
   3  6.528E-01  1.333E-01
   3  7.506E-01  1.431E-01
   3  8.630E-01  1.518E-01
   3  9.922E-01  1.590E-01
   3  1.141E+00  1.642E-01
   3  1.312E+00  1.673E-01
   3  1.508E+00  1.679E-01
   3  1.734E+00  1.660E-01
   3  1.994E+00  1.616E-01
   3  2.292E+00  1.548E-01
   3  2.635E+00  1.459E-01
   3  3.030E+00  1.353E-01
   3  3.484E+00  1.233E-01
   3  4.006E+00  1.105E-01
   3  4.606E+00  9.728E-02
   3  5.295E+00  8.418E-02
